ID,Utterance,Speaker,Dialogue_ID,Wav_Path,Label
3937,꿈꿨는데 민지가 나한테 쌍욕을 했다고. ,User028M,Sess14_script03,./ETRI/KEMDy20_v1_1/wav/Session14/Sess14_script03_User028M_013.wav,happy
781, 그래서 아빠는 이제 엄마에 소중함을 엄마의 사랑을 많이 못 받았지.,User006M,Sess03_script04,./ETRI/KEMDy20_v1_1/wav/Session03/Sess03_script04_User006M_005.wav,neutral
4430,아직 그 일 이제 거의 한 나 전역하고 나서 엄마가 알았어. ,User030M,Sess15_script06,./ETRI/KEMDy20_v1_1/wav/Session15/Sess15_script06_User030M_027.wav,neutral
7349,"나랑 같이 같은 같이 활동하는 형이 한 명 있는데 바로 내 옆자리에서 잤는데 꼭 숨이 넘어 갈 거 같애, 꼭 죽을, 죽을 듯이 막 코를 골아.",User051M,Sess26_script01,./ETRI/KEMDy20_v1_1/wav/Session26/Sess26_script01_User051M_004.wav,neutral
1430, 어느 정도 느끼기에는 왜냐하면 막  새로운 사람들 만날 기회가 엄청 많은데 그럼 내가 먼저 다가가는 걸 잘못하는 편이니까 막 더 친해지고 그런 게 남들보다는 더 느리지.,User009M,Sess05_script03,./ETRI/KEMDy20_v1_1/wav/Session05/Sess05_script03_User009M_027.wav,neutral
5023, 인간도 솔직히 태어날 때는 감정을 가지고 있을지는 잘 모르겠어.,User035M,Sess18_script04,./ETRI/KEMDy20_v1_1/wav/Session18/Sess18_script04_User035M_008.wav,neutral
8202,"아,  아 맞아 그 편도 재밌었어.",User058F,Sess29_script01,./ETRI/KEMDy20_v1_1/wav/Session29/Sess29_script01_User058F_011.wav,happy
9814,10년 정도 됐나?,User064F,Sess32_script06,./ETRI/KEMDy20_v1_1/wav/Session32/Sess32_script06_User064F_004.wav,neutral
2304, 내가 스물두 살이었으면 좋겠어. ,User017M,Sess09_script01,./ETRI/KEMDy20_v1_1/wav/Session09/Sess09_script01_User017M_019.wav,happy
1381,나는 막 그렇게 막 권태기가 올 만큼 오랫동안 사귀어 본 적은 한 번도 없어 가지고 그렇게 막 편해지거나 그랬던 적은 한 번도 없는 거 같애. ,User009M,Sess05_script02,./ETRI/KEMDy20_v1_1/wav/Session05/Sess05_script02_User009M_025.wav,neutral
11817," 어 약간 못 하긴 하지, 할 시간도 없고.",User076F,Sess38_script05,./ETRI/KEMDy20_v1_1/wav/Session38/Sess38_script05_User076F_017.wav,happy
3337, 더 이제 친구 같은.,User013M,Sess07_script06,./ETRI/KEMDy20_v1_1/wav/Session07/Sess07_script06_User013M_010.wav,neutral
6141,그 얼마 전에 공무원 시험 준비하는 친구 생일날 막 연락을 했는데 내가 그 친구한테 그랬어.,User043F,Sess22_script03,./ETRI/KEMDy20_v1_1/wav/Session22/Sess22_script03_User043F_017.wav,neutral
10108,고등학교 때 없고 대학교 때?,User066M,Sess33_script04,./ETRI/KEMDy20_v1_1/wav/Session33/Sess33_script04_User066M_006.wav,neutral
12196,음 그럼 보면 만약에 부모님이 치매에 걸린다고 생각하면 언니 생각해 본 적 있어?,User078F,Sess39_script05,./ETRI/KEMDy20_v1_1/wav/Session39/Sess39_script05_User078F_023.wav,neutral
687,너는 어어.,User006M,Sess03_script03,./ETRI/KEMDy20_v1_1/wav/Session03/Sess03_script03_User006M_001.wav,neutral
4213,내가 아는 사람이 아닌 이상은 약간 좀 안될 거 같아.,User029M,Sess15_script02,./ETRI/KEMDy20_v1_1/wav/Session15/Sess15_script02_User029M_026.wav,neutral
10106,운이 좋은 거지.,User065M,Sess33_script04,./ETRI/KEMDy20_v1_1/wav/Session33/Sess33_script04_User065M_012.wav,neutral
7961, 아 그런 사람들이 회사까지 찾아오는 거예요?,User056M,Sess28_script01,./ETRI/KEMDy20_v1_1/wav/Session28/Sess28_script01_User056M_013.wav,surprise
8188, 무슨 꿈을 꿨어?,User058F,Sess29_script01,./ETRI/KEMDy20_v1_1/wav/Session29/Sess29_script01_User058F_004.wav,happy
10311,"응 거깄는 거, 그거를 진짜 그때 그 아, 아픔과 그게 마취도 제대로 안 한 거 같애.",User068M,Sess34_script02,./ETRI/KEMDy20_v1_1/wav/Session34/Sess34_script02_User068M_010.wav,neutral
11725,"어어, 그거 재밌어 그 엄청 재밌어.",User075M,Sess38_script03,./ETRI/KEMDy20_v1_1/wav/Session38/Sess38_script03_User075M_018.wav,happy
5016, 우리가 지금까지 뭐 뭐 인간과 다른 로봇을 만들 수 있는 기술력이 있다고 하는데 이제 그 감정은 구현을 할 수가 없다고 하잖아.,User035M,Sess18_script04,./ETRI/KEMDy20_v1_1/wav/Session18/Sess18_script04_User035M_005.wav,neutral
11951,아빠가 힘든데 뭐 힘든 얘기를 잘 못하니깐 뭐 그런가 봐.,User078F,Sess39_script01,./ETRI/KEMDy20_v1_1/wav/Session39/Sess39_script01_User078F_037.wav,neutral
10043,응 한 바퀴 돌고 지금 전집.,User066M,Sess33_script03,./ETRI/KEMDy20_v1_1/wav/Session33/Sess33_script03_User066M_023.wav,neutral
11576,"응 예전에는 그렇게 오래 1차 2차 3차까지 갔던 거 같애, 회식이.",User073F,Sess37_script06,./ETRI/KEMDy20_v1_1/wav/Session37/Sess37_script06_User073F_021.wav,neutral
6280,근데 난 제일 어이없던 게 그 사람이 꼰대긴 꼰대지.,User043F,Sess22_script06,./ETRI/KEMDy20_v1_1/wav/Session22/Sess22_script06_User043F_011.wav,neutral
591,집 가서 생각을 해 봤는데 승광이 군대 가 있는데 어떻게  누구지 생각하고. ,User006M,Sess03_script01,./ETRI/KEMDy20_v1_1/wav/Session03/Sess03_script01_User006M_009.wav,happy
9323, 근데 갔는데 그때는 이제 군대 잘 갔다 오라고 마지막 헤어질 때 그 포옹도 막 해주는 거예요.,User062M,Sess31_script06,./ETRI/KEMDy20_v1_1/wav/Session31/Sess31_script06_User062M_021.wav,neutral
1499,클래식 음악? ,User009M,Sess05_script05,./ETRI/KEMDy20_v1_1/wav/Session05/Sess05_script05_User009M_013.wav,happy
11485,응 아아 그런 거는 많이 있잖아. ,User073F,Sess37_script05,./ETRI/KEMDy20_v1_1/wav/Session37/Sess37_script05_User073F_004.wav,neutral
10005, 근데 유리창에 다 금 가고 깨져버렸어.,User065M,Sess33_script02,./ETRI/KEMDy20_v1_1/wav/Session33/Sess33_script02_User065M_033.wav,neutral
